_id,id_munic_7,id_munic_6,id_TSE,id_RF,id_BCB,municipio,id_comarca,id_estado,estado_abrev,estado,existia_1991,existia_2000,existia_2010,existe
1,1200013,120001,1120,643,50830,Acrelândia,1200013,12,AC,Acre,0,1,1,1
2,1200054,120005,1570,157,9465,Assis Brasil,1200104,12,AC,Acre,1,1,1,1
3,1200104,120010,1058,105,35697,Brasiléia,1200104,12,AC,Acre,1,1,1,1
4,1200138,120013,1007,645,50919,Bujari,1200138,12,AC,Acre,0,1,1,1
5,1200179,120017,1015,647,50971,Capixaba,1200179,12,AC,Acre,0,1,1,1
6,1200203,120020,1074,107,35680,Cruzeiro do Sul,1200203,12,AC,Acre,1,1,1,1
7,1200252,120025,1112,651,50964,Epitaciolândia,1200252,12,AC,Acre,0,1,1,1
8,1200302,120030,1139,113,15978,Feijó,1200302,12,AC,Acre,1,1,1,1
9,1200328,120032,1104,653,50957,Jordão,1200609,12,AC,Acre,0,1,1,1
10,1200336,120033,1090,109,1030,Mâncio Lima,1200336,12,AC,Acre,1,1,1,1
11,1200344,120034,1554,155,5184,Manoel Urbano,1200344,12,AC,Acre,1,1,1,1
12,1200351,120035,1040,655,50902,Marechal Thaumaturgo,1200203,12,AC,Acre,0,1,1,1
13,1200385,120038,1511,151,29988,Plácido de Castro,1200385,12,AC,Acre,1,1,1,1
14,1200807,120080,1023,649,50847,Porto Acre,1200401,12,AC,Acre,0,1,1,1
15,1200393,120039,1066,657,50926,Porto Walter,1200203,12,AC,Acre,0,1,1,1
16,1200401,120040,1392,139,38955,Rio Branco,1200401,12,AC,Acre,1,1,1,1
17,1200427,120042,1082,659,50854,Rodrigues Alves,1200203,12,AC,Acre,0,1,1,1
18,1200435,120043,1031,661,50940,Santa Rosa do Purus,1200500,12,AC,Acre,0,1,1,1
19,1200500,120050,1457,145,29074,Sena Madureira,1200500,12,AC,Acre,1,1,1,1
20,1200450,120045,1538,153,33730,Senador Guiomard,1200450,12,AC,Acre,1,1,1,1
21,1200609,120060,1473,147,27478,Tarauacá,1200609,12,AC,Acre,1,1,1,1
22,1200708,120070,1490,149,18690,Xapuri,1200708,12,AC,Acre,1,1,1,1
23,2700102,270010,27014,2701,29476,Água Branca,2700102,27,AL,Alagoas,1,1,1,1
24,2700201,270020,27030,2703,21319,Anadia,2700201,27,AL,Alagoas,1,1,1,1
25,2700300,270030,27057,2705,13413,Arapiraca,2700300,27,AL,Alagoas,1,1,1,1
26,2700409,270040,27073,2707,4491,Atalaia,2700409,27,AL,Alagoas,1,1,1,1
27,2700508,270050,27090,2709,32896,Barra de Santo Antônio,2706448,27,AL,Alagoas,1,1,1,1
28,2700607,270060,27111,2711,23946,Barra de São Miguel,2708600,27,AL,Alagoas,1,1,1,1
29,2700706,270070,27138,2713,15215,Batalha,2700706,27,AL,Alagoas,1,1,1,1
30,2700805,270080,27154,2715,8105,Belém,2709103,27,AL,Alagoas,1,1,1,1
31,2700904,270090,27170,2717,38292,Belo Monte,2700706,27,AL,Alagoas,1,1,1,1
32,2701001,270100,27197,2719,35192,Boca da Mata,2701001,27,AL,Alagoas,1,1,1,1
33,2701100,270110,27219,2721,22349,Branquinha,2705507,27,AL,Alagoas,1,1,1,1
34,2701209,270120,27235,2723,10791,Cacimbinhas,2701209,27,AL,Alagoas,1,1,1,1
35,2701308,270130,27251,2725,1889,Cajueiro,2701308,27,AL,Alagoas,1,1,1,1
36,2701357,270135,27081,560,57242,Campestre,2707305,27,AL,Alagoas,0,1,1,1
37,2701407,270140,27278,2727,32999,Campo Alegre,2701407,27,AL,Alagoas,1,1,1,1
38,2701506,270150,27294,2729,24172,Campo Grande,2702900,27,AL,Alagoas,1,1,1,1
39,2701605,270160,27316,2731,15404,Canapi,2705002,27,AL,Alagoas,1,1,1,1
40,2701704,270170,27332,2733,7591,Capela,2701704,27,AL,Alagoas,1,1,1,1
41,2701803,270180,27359,2735,37578,Carneiros,2708402,27,AL,Alagoas,1,1,1,1
42,2701902,270190,27375,2737,29531,Chã Preta,2709400,27,AL,Alagoas,1,1,1,1
43,2702009,270200,27391,2739,26297,Coité do Nóia,2709103,27,AL,Alagoas,1,1,1,1
44,2702108,270210,27413,2741,13011,Colônia Leopoldina,2702108,27,AL,Alagoas,1,1,1,1
45,2702207,270220,27430,2743,3959,Coqueiro Seco,2707909,27,AL,Alagoas,1,1,1,1
46,2702306,270230,27456,2745,35288,Coruripe,2702306,27,AL,Alagoas,1,1,1,1
47,2702355,270235,28894,2889,41351,Craíbas,2703106,27,AL,Alagoas,1,1,1,1
48,2702405,270240,27472,2747,24897,Delmiro Gouveia,2702405,27,AL,Alagoas,1,1,1,1
49,2702504,270250,27499,2749,17536,Dois Riachos,2701209,27,AL,Alagoas,1,1,1,1
50,2702553,270255,27049,2643,51035,Estrela de Alagoas,2706307,27,AL,Alagoas,0,1,1,1
51,2702603,270260,27510,2751,8129,Feira Grande,2702603,27,AL,Alagoas,1,1,1,1
52,2702702,270270,27537,2753,38388,Feliz Deserto,2706802,27,AL,Alagoas,1,1,1,1
53,2702801,270280,27553,2755,30063,Flexeiras,2702801,27,AL,Alagoas,1,1,1,1
54,2702900,270290,27570,2757,21072,Girau do Ponciano,2702900,27,AL,Alagoas,1,1,1,1
55,2703007,270300,27596,2759,15772,Ibateguara,2708303,27,AL,Alagoas,1,1,1,1
56,2703106,270310,27618,2761,2730,Igaci,2703106,27,AL,Alagoas,1,1,1,1
57,2703205,270320,27634,2763,34100,Igreja Nova,2703205,27,AL,Alagoas,1,1,1,1
58,2703304,270330,27650,2765,25793,Inhapi,2705002,27,AL,Alagoas,1,1,1,1
59,2703403,270340,27677,2767,15569,Jacaré dos Homens,2700706,27,AL,Alagoas,1,1,1,1
60,2703502,270350,27693,2769,7711,Jacuípe,2707305,27,AL,Alagoas,1,1,1,1
61,2703601,270360,27715,2771,37815,Japaratinga,2704500,27,AL,Alagoas,1,1,1,1
62,2703700,270370,27731,2773,28776,Jaramataia,2704401,27,AL,Alagoas,1,1,1,1
63,2703759,270375,27065,562,56748,Jequiá da Praia,2708600,27,AL,Alagoas,0,0,1,1
64,2703809,270380,27758,2775,22019,Joaquim Gomes,2703809,27,AL,Alagoas,1,1,1,1
65,2703908,270390,27774,2777,14089,Jundiá,2705606,27,AL,Alagoas,1,1,1,1
66,2704005,270400,27790,2779,9836,Junqueiro,2704005,27,AL,Alagoas,1,1,1,1
67,2704104,270410,27812,2781,33228,Lagoa da Canoa,2702603,27,AL,Alagoas,1,1,1,1
