SG_UF,total,converted,valid_ibge,conversion_rate
RO,6219,6219,6219,100
AC,2380,2380,2380,100
AM,12376,12376,12376,100
RR,1511,1511,1511,100
PA,25308,25308,25308,100
AP,1929,1929,1929,100
MA,20217,20217,20217,100
PI,11099,11099,11099,100
CE,31685,31685,31685,100
RN,9589,9589,9589,100
PB,13240,13240,13240,100
PE,23353,23353,23353,100
AL,7082,7082,7082,100
BA,38023,38023,38023,100
SE,7334,7334,7334,100
MG,59116,59116,59116,100
MS,9489,9489,9489,100
ES,11028,11028,11028,100
RJ,39832,39832,39832,100
SP,148063,148063,148063,100
TO,4965,4965,4965,100
MT,10153,10141,10141,99.8818083325126
PR,33230,33230,33230,100
SC,17188,17188,17188,100
RS,33936,33936,33936,100
GO,20859,20859,20859,100
