cod_localidade_ibge,n_stations_y1,n_records_y1,n_stations_y2,n_records_y2,absolute_change,pct_change,year1,year2,year_pair,change_category,nm_localidade,sg_uf
3166600,1,1,3,3,2,200,2006,2008,2006-2008,Doubled or more,SERRA DA SAUDADE,MG
4216354,1,1,3,3,2,200,2006,2008,2006-2008,Doubled or more,SAO JOAO DO ITAPERIU,SC
2203008,3,3,8,8,5,166.666666666667,2006,2008,2006-2008,Doubled or more,CRISTALANDIA DO PIAUI,PI
5200050,2,2,5,5,3,150,2006,2008,2006-2008,Doubled or more,ABADIA DE GOIAS,GO
1200054,5,5,10,10,5,100,2006,2008,2006-2008,Doubled or more,ASSIS BRASIL,AC
1717206,3,3,6,6,3,100,2006,2008,2006-2008,Doubled or more,PIRAQUE,TO
1717503,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,PIUM,TO
2513943,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,SAO DOMINGOS DO CARIRI,PB
2701357,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,CAMPESTRE,AL
2703908,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,JUNDIA,AL
3103108,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,ANTONIO PRADO DE MINAS,MG
3113602,2,2,4,4,2,100,2006,2008,2006-2008,Doubled or more,CAREACU,MG
3117900,2,2,4,4,2,100,2006,2008,2006-2008,Doubled or more,CONGONHAL,MG
3171501,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,MATHIAS LOBATO,MG
3507159,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,BOM SUCESSO DE ITARARE,SP
3510153,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,CANITAR,SP
3525409,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,JERIQUARA,SP
3541802,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,QUEIROZ,SP
3547908,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,SANTO ANTONIO DA ALEGRIA,SP
5106315,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,NOVO SANTO ANTONIO,MT
5107875,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,SAPEZAL,MT
5200555,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,ALTO HORIZONTE,GO
5218391,1,1,2,2,1,100,2006,2008,2006-2008,Doubled or more,PROFESSOR JAMIL,GO
3172103,6,6,11,11,5,83.3333333333333,2006,2008,2006-2008,Major increase (50-100%),VOLTA GRANDE,MG
3132305,5,5,9,9,4,80,2006,2008,2006-2008,Major increase (50-100%),ITAIPE,MG
2104503,9,9,16,16,7,77.7777777777778,2006,2008,2006-2008,Major increase (50-100%),GOVERNADOR ARCHER,MA
1200138,4,4,7,7,3,75,2006,2008,2006-2008,Major increase (50-100%),BUJARI,AC
2914901,12,12,3,3,-9,-75,2006,2008,2006-2008,Major decrease (>50%),ITACARE,BA
1200013,7,7,12,12,5,71.4285714285714,2006,2008,2006-2008,Major increase (50-100%),ACRELANDIA,AC
2110658,6,6,10,10,4,66.6666666666667,2006,2008,2006-2008,Major increase (50-100%),SAO DOMINGOS DO AZEITAO,MA
2207355,3,3,5,5,2,66.6666666666667,2006,2008,2006-2008,Major increase (50-100%),PAJEU DO PIAUI,PI
2400604,3,3,5,5,2,66.6666666666667,2006,2008,2006-2008,Major increase (50-100%),ALMINO AFONSO,RN
2929354,3,3,5,5,2,66.6666666666667,2006,2008,2006-2008,Major increase (50-100%),SAO JOSE DA VITORIA,BA
4124202,3,3,1,1,-2,-66.6666666666667,2006,2008,2006-2008,Major decrease (>50%),SANTO ANTONIO DO CAIUA,PR
4310900,3,3,5,5,2,66.6666666666667,2006,2008,2006-2008,Major increase (50-100%),JACUTINGA,RS
2409100,5,5,8,8,3,60,2006,2008,2006-2008,Major increase (50-100%),PASSA E FICA,RN
3101508,31,31,49,49,18,58.0645161290323,2006,2008,2006-2008,Major increase (50-100%),ALEM PARAIBA,MG
2209971,7,7,11,11,4,57.1428571428571,2006,2008,2006-2008,Major increase (50-100%),SAO JOAO DO ARRAIAL,PI
3160009,7,7,11,11,4,57.1428571428571,2006,2008,2006-2008,Major increase (50-100%),SANTO ANTONIO DO AVENTUREIRO,MG
5211602,7,7,3,3,-4,-57.1428571428571,2006,2008,2006-2008,Major decrease (>50%),IVOLANDIA,GO
1504752,0,0,53,53,53,Inf,2008,2010,2008-2010,New municipality,MOJUI DOS CAMPOS,PA
5006275,0,0,3,3,3,Inf,2008,2010,2008-2010,New municipality,PARAISO DAS AGUAS,MS
3129202,2,2,7,7,5,250,2008,2010,2008-2010,Doubled or more,HELIODORA,MG
3116407,1,1,3,3,2,200,2008,2010,2008-2010,Doubled or more,CLARAVAL,MG
3169109,1,1,3,3,2,200,2008,2010,2008-2010,Doubled or more,TOLEDO,MG
3519253,2,2,5,5,3,150,2008,2010,2008-2010,Doubled or more,IARAS,SP
2201988,3,3,7,7,4,133.333333333333,2008,2010,2008-2010,Doubled or more,BREJO DO PIAUI,PI
3125101,4,4,9,9,5,125,2008,2010,2008-2010,Doubled or more,EXTREMA,MG
1200393,6,6,13,13,7,116.666666666667,2008,2010,2008-2010,Doubled or more,PORTO WALTER,AC
1700251,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,ABREULANDIA,TO
1705607,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,CONCEICAO DO TOCANTINS,TO
1711951,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,LAGOA DO TOCANTINS,TO
2406908,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,LUCRECIA,RN
2410009,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,PILOES,RN
2931103,3,3,6,6,3,100,2008,2010,2008-2010,Doubled or more,TANQUINHO,BA
3115607,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,CEDRO DO ABAETE,MG
3116902,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,COMENDADOR GOMES,MG
3123858,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,ENTRE FOLHAS,MG
3129905,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,IBITIURA DE MINAS,MG
3151602,2,2,4,4,2,100,2008,2010,2008-2010,Doubled or more,PLANURA,MG
3161056,1,1,2,2,1,100,2008,2010,2008-2010,Doubled or more,SAO FELIX DE MINAS,MG
